,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Percentage of rape,Percentage of Kidnapping and Abduction,Percentage of Dowry Deaths,Percentage of Assault on women with intent to outrage her modesty,Percentage of Insult to modesty of Women,Percentage of Cruelty by Husband or his Relatives,Percentage of Importation of Girls,Rape w.r.t National Average (In %),Kidnapping and abduction w.r.t National Average (In %),Dowry Deaths w.r.t National Average (In %),Assault on women with intent to outrage her modesty w.r.t National Average (In %),Insult to modesty of Women w.r.t National Average (In %),Cruelty by Husband or his Relatives w.r.t National Average (In %),Importation of Girls w.r.t National Average (In %)
2445,andhra pradesh,Total District(s),2014,961,721,215,4547,2649,6362,0,12.480519480519481,9.363636363636363,2.792207792207792,59.05194805194805,34.4025974025974,82.62337662337663,0.0,5.822784810126579,54.71026504510478,8.456534594914253,99.0539308080501,879.5993836671803,86.39126931809858,100.0
2465,arunachal pradesh,Total District(s),2014,83,91,1,121,3,42,0,1.077922077922078,1.1818181818181819,0.012987012987012988,1.5714285714285714,0.03896103896103896,0.5454545454545454,0.0,91.86606778276848,94.28381986006177,99.57421643997635,94.70298534687177,98.89060092449922,98.7695012085256,100.0
2493,assam,Total District(s),2014,1980,3895,188,3099,1,9626,1,25.714285714285715,50.58441558441559,2.4415584415584415,40.246753246753244,0.012987012987012988,125.01298701298701,0.012987012987012988,94.03838301347488,144.6650730226309,19.95269071555293,35.664862892928795,99.63020030816641,182.0186039698235,176.9230769230769
2540,bihar,Total District(s),2014,1127,4735,1373,572,69,4672,5,14.636363636363637,61.493506493506494,17.83116883116883,7.428571428571429,0.8961038961038961,60.675324675324674,0.06493506493506493,10.445079624336467,197.4298127759069,484.6008279124779,74.95956709430291,74.48382126348228,36.87834175639054,1284.6153846153848
2569,chhattisgarh,Total District(s),2014,1436,1393,128,2122,79,964,0,18.649350649350648,18.09090909090909,1.6623376623376624,27.558441558441558,1.025974025974026,12.519480519480519,0.0,40.72682727643937,12.498473242483989,45.499704316972206,7.105247157536334,70.78582434514638,71.75712297663517,100.0
2573,goa,Total District(s),2014,95,86,0,202,57,35,0,1.2337662337662338,1.1168831168831168,0.0,2.6233766233766236,0.7402597402597403,0.45454545454545453,0.0,90.69007758268681,94.59789569192651,100.0,91.15704991791816,78.92141756548537,98.974584340438,100.0
2615,gujarat,Total District(s),2014,841,2187,23,1352,173,5991,0,10.922077922077921,28.4025974025974,0.2987012987012987,17.558441558441558,2.2467532467532467,77.8051948051948,0.0,17.582686810943237,37.376768857636414,90.20697811945594,40.813522222897795,36.024653312788914,75.52186332674138,100.0
2640,haryana,Total District(s),2014,1174,1922,293,1688,102,3478,0,15.246753246753247,24.961038961038962,3.8051948051948052,21.92207792207792,1.3246753246753247,45.16883116883117,0.0,15.051041241322993,20.730749768805296,24.754583086930808,26.10445673983098,62.280431432973806,1.8970189701897018,100.0
2656,himachal pradesh,Total District(s),2014,283,227,1,538,60,325,0,3.675324675324675,2.948051948051948,0.012987012987012988,6.987012987012987,0.7792207792207793,4.220779220779221,0.0,72.2662311147407,85.7409572333409,99.57421643997635,76.44798443485135,77.8120184899846,90.47828316120999,100.0
2687,jammu & kashmir,Total District(s),2014,331,813,5,1421,237,467,0,4.298701298701299,10.558441558441558,0.06493506493506493,18.454545454545453,3.0779220779220777,6.064935064935065,0.0,67.56227031441404,48.931269738793596,97.87108219988173,37.79291056119657,12.357473035439142,86.31802534241558,100.0
2714,jharkhand,Total District(s),2014,1050,885,350,440,18,1462,2,13.636363636363637,11.493506493506494,4.545454545454546,5.714285714285714,0.23376623376623376,18.98701298701299,0.025974025974025976,2.8991425071457777,44.40857775994137,49.02424600827912,80.73812853407917,93.34360554699538,57.166923020581564,453.8461538461538
2751,karnataka,Total District(s),2014,1324,1457,313,5263,170,3025,0,17.194805194805195,18.92207792207792,4.064935064935065,68.35064935064935,2.207792207792208,39.285714285714285,0.0,29.750918742343817,8.478302594615341,33.2702542874039,130.3982489207758,37.13405238828968,11.374789423569911,100.0
2773,kerala,Total District(s),2014,1347,143,28,4367,257,4919,0,17.493506493506494,1.8571428571428572,0.36363636363636365,56.714285714285715,3.3376623376623376,63.883116883116884,0.0,32.00489995916701,91.0174312086685,88.07806031933767,91.17407429926429,4.961479198767341,44.11484655387095,100.0
2829,madhya pradesh,Total District(s),2014,5076,5688,733,9609,429,6451,0,65.92207792207792,73.87012987012987,9.519480519480519,124.79220779220779,5.571428571428571,83.77922077922078,0.0,397.4438546345447,257.2926663293259,212.09934949733884,320.6530066273484,58.64406779661016,88.99875485241338,100.0
2876,maharashtra,Total District(s),2014,3438,2457,279,10001,1575,7696,1,44.64935064935065,31.90909090909091,3.6233766233766236,129.88311688311688,20.454545454545453,99.94805194805195,0.012987012987012988,236.92119232339732,54.336863778332265,18.793613246599644,337.81358302425974,482.4345146379044,125.47425474254743,176.9230769230769
2887,manipur,Total District(s),2014,75,121,1,98,0,41,0,0.974025974025974,1.5714285714285714,0.012987012987012988,1.2727272727272727,0.0,0.5324675324675324,0.0,92.6500612494896,92.39936486887333,99.57421643997635,95.70985590077218,100.0,98.7987987987988,100.0
2899,meghalaya,Total District(s),2014,118,38,1,105,54,42,0,1.5324675324675325,0.4935064935064935,0.012987012987012988,1.3636363636363635,0.7012987012987013,0.5454545454545454,0.0,88.43609636586362,97.613023677828,99.57421643997635,95.40341703654161,80.03081664098613,98.7695012085256,100.0
2909,mizoram,Total District(s),2014,120,3,0,97,29,8,0,1.5584415584415585,0.03896103896103896,0.0,1.2597402597402598,0.37662337662337664,0.1038961038961039,0.0,88.24009799918335,99.81155450088116,100.0,95.75363288137653,89.27580893682588,99.7656192778144,100.0
2921,nagaland,Total District(s),2014,30,13,0,16,1,3,0,0.38961038961038963,0.16883116883116883,0.0,0.2077922077922078,0.012987012987012988,0.03896103896103896,0.0,97.06002449979584,99.18340283715168,100.0,99.29956831033016,99.63020030816641,99.9121072291804,100.0
2958,odisha,Total District(s),2014,1978,2436,441,5543,379,3114,0,25.68831168831169,31.636363636363637,5.7272727272727275,71.98701298701299,4.922077922077922,40.44155844155844,0.0,93.84238464679461,53.017745284500364,87.7705499704317,142.65580348999816,40.15408320493065,8.767303889255109,100.0
2987,punjab,Total District(s),2014,981,1176,90,1113,35,1681,0,12.74025974025974,15.272727272727273,1.1688311688311688,14.454545454545455,0.45454545454545453,21.83116883116883,0.0,3.862801143323802,26.12936434541362,61.67947959787108,51.27622058734116,87.05701078582435,50.750750750750754,100.0
3030,rajasthan,Total District(s),2014,3759,4421,408,5999,18,15905,0,48.81818181818182,57.41558441558441,5.298701298701299,77.9090909090909,0.23376623376623376,206.55844155844156,0.0,268.3789301755819,177.70585053480136,73.7196924896511,162.61810664558885,93.34360554699538,365.97817329524645,100.0
3036,sikkim,Total District(s),2014,47,12,0,34,3,5,0,0.6103896103896104,0.15584415584415584,0.0,0.44155844155844154,0.03896103896103896,0.06493506493506493,0.0,95.39403838301348,99.24621800352463,100.0,98.51158265945156,98.89060092449922,99.853512048634,100.0
3079,tamil nadu,Total District(s),2014,455,1502,95,1102,229,2103,0,5.909090909090909,19.506493506493506,1.2337662337662338,14.311688311688311,2.9740259740259742,27.31168831168831,0.0,55.41037158023683,5.6516201078326995,59.55056179775281,51.75776737398918,15.315870570107865,38.38716765546034,100.0
3093,telangana,Total District(s),2014,979,711,289,3188,1142,6369,0,12.714285714285714,9.233766233766234,3.7532467532467533,41.4025974025974,14.831168831168831,82.71428571428571,0.0,4.0587995100040795,55.338416708834245,23.05144884683619,39.56101416671733,322.31124807395986,86.59635245001098,100.0
3103,tripura,Total District(s),2014,239,102,33,492,11,702,0,3.103896103896104,1.3246753246753247,0.42857142857142855,6.3896103896103895,0.14285714285714285,9.116883116883116,0.0,76.57819518170682,93.59285302995934,85.94914251921941,78.46172554265216,95.9322033898305,79.43309162821357,100.0
