,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Totalcases,safety_index
0,andhra pradesh,adilabad,2011,84,70,20,112,142,429,0,857,34.09500643595363
1,andhra pradesh,anantapur,2011,16,83,36,156,16,198,0,505,36.99194278849599
2,andhra pradesh,chittoor,2011,17,47,25,124,168,421,0,802,34.433194195251346
3,andhra pradesh,cuddapah,2011,41,65,15,144,17,122,0,404,38.36737069203086
4,andhra pradesh,cyberabad,2011,89,90,51,158,234,1411,0,2033,30.228490704690756
5,andhra pradesh,east godavari,2011,72,51,17,176,224,575,0,1115,32.81620606999634
6,andhra pradesh,guntakal rly.,2011,0,0,0,0,3,1,0,4,166.09640474436816
7,andhra pradesh,guntur,2011,40,57,8,223,140,494,0,962,33.52133132826489
8,andhra pradesh,guntur urban,2011,33,28,6,86,111,395,0,659,35.475014160659846
9,andhra pradesh,hyderabad city,2011,59,39,37,157,93,1355,0,1740,30.858966285729867
10,andhra pradesh,karimnagar,2011,58,120,40,253,235,702,0,1408,31.760120587892505
11,andhra pradesh,khammam,2011,84,73,20,243,140,519,0,1079,32.97042300024179
12,andhra pradesh,krishna,2011,80,75,15,348,292,733,0,1543,31.364028571047847
13,andhra pradesh,kurnool,2011,39,58,20,340,222,424,0,1103,32.86689174718248
14,andhra pradesh,mahaboobnagar,2011,88,69,28,162,66,259,0,672,35.36856715288222
15,andhra pradesh,medak,2011,38,33,26,121,50,384,0,652,35.533476212846274
16,andhra pradesh,nalgonda,2011,48,51,36,229,150,255,0,769,34.650919055293905
17,andhra pradesh,nellore,2011,28,81,7,166,119,187,0,588,36.10920009289146
18,andhra pradesh,nizamabad,2011,63,51,27,98,100,569,0,908,33.80564497477167
19,andhra pradesh,prakasham,2011,24,81,11,243,56,266,0,681,35.296437512729625
20,andhra pradesh,rajahmundry,2011,15,28,3,44,34,189,0,313,40.071417884852046
21,andhra pradesh,ranga reddy,2011,24,20,15,50,2,89,0,200,43.45879896760937
22,andhra pradesh,secunderabad rly.,2011,0,1,1,5,1,2,0,10,100.0
23,andhra pradesh,srikakulam,2011,29,23,8,91,83,333,0,567,36.316318724086564
24,andhra pradesh,tirupathi urban,2011,10,1,5,40,7,112,0,175,44.58239130565268
25,andhra pradesh,vijayawada city,2011,37,50,17,248,355,1066,0,1773,30.78146061669111
26,andhra pradesh,vijayawada rly.,2011,1,2,1,3,2,1,0,10,100.0
27,andhra pradesh,visakha rural,2011,38,30,8,120,128,203,0,527,36.740249097820126
28,andhra pradesh,visakhapatnam,2011,57,48,12,31,50,386,0,584,36.14789459367234
29,andhra pradesh,vizianagaram,2011,50,20,5,79,99,384,0,637,35.66156477344558
30,andhra pradesh,warangal,2011,48,62,26,157,27,89,0,409,38.28889518786608
31,andhra pradesh,warangal urban,2011,35,15,26,78,54,63,0,271,41.10203954282553
32,andhra pradesh,west godavari,2011,97,90,27,364,238,760,0,1576,31.27388334523654
34,arunachal pradesh,anjaw,2011,0,0,0,0,0,0,0,2,332.1928094887363
35,arunachal pradesh,changlang,2011,3,7,0,3,0,2,0,15,85.02741537276027
36,arunachal pradesh,dibang valley,2011,3,2,0,1,0,0,0,6,128.5097208938469
37,arunachal pradesh,k/kumey,2011,4,0,0,0,0,0,0,4,166.09640474436816
38,arunachal pradesh,kameng east,2011,3,2,0,3,0,0,0,8,110.73093649624543
39,arunachal pradesh,kameng west,2011,0,1,0,4,0,0,0,5,143.06765580733932
40,arunachal pradesh,lohit,2011,5,4,0,2,0,0,0,11,96.02525677891276
41,arunachal pradesh,papum pare,2011,4,17,0,7,0,9,0,37,63.7673065048409
42,arunachal pradesh,rural,2011,2,4,0,4,0,3,0,13,89.77117175026231
43,arunachal pradesh,siang east,2011,8,4,0,7,0,2,0,21,75.63041955164012
44,arunachal pradesh,siang upper,2011,1,3,0,3,0,0,0,7,118.32946624549385
45,arunachal pradesh,siang west,2011,2,5,0,8,0,2,0,17,81.2711509291959
46,arunachal pradesh,subansiri lower,2011,2,3,0,0,0,0,0,5,143.06765580733932
47,arunachal pradesh,subansiri upper,2011,2,6,0,5,0,0,0,13,89.77117175026231
48,arunachal pradesh,tawang,2011,0,1,0,1,0,0,0,2,332.1928094887363
49,arunachal pradesh,tirap,2011,3,1,0,3,0,0,0,7,118.32946624549385
50,arunachal pradesh,upper dibang valley,2011,0,0,0,0,0,0,0,2,332.1928094887363
52,assam,barpeta,2011,92,156,5,25,0,336,0,614,35.86583975166144
53,assam,baska,2011,29,60,3,4,0,25,0,121,48.01262838945638
54,assam,bongaigaon,2011,72,64,5,2,0,126,0,269,41.15645896210494
55,assam,c.i.d.,2011,0,0,0,0,0,0,0,2,332.1928094887363
56,assam,cachar,2011,74,167,4,7,0,498,0,750,34.781867528634976
57,assam,chirang,2011,30,40,4,8,0,51,0,133,47.084268068020734
58,assam,darrang,2011,95,192,2,109,2,164,0,564,36.346730455379294
59,assam,dhemaji,2011,62,59,5,40,0,122,0,288,40.66044785357163
60,assam,dhubri,2011,157,276,12,210,2,693,0,1350,31.945475273736623
61,assam,dibrugarh,2011,54,29,0,7,0,135,0,225,42.51370768638014
62,assam,g.r.p.,2011,1,1,0,0,0,0,0,2,332.1928094887363
63,assam,goalpara,2011,99,89,3,2,0,142,2,337,39.562754011387284
64,assam,golaghat,2011,54,146,1,66,0,194,0,461,37.54175217151
65,assam,guwahati city,2011,56,306,10,112,0,213,0,697,35.17123211659629
66,assam,hailakandi,2011,61,63,4,27,0,126,0,281,40.837890271740044
67,assam,jorhat,2011,49,11,2,49,0,172,0,283,40.786586690865676
68,assam,kamrup,2011,63,139,6,61,0,147,0,416,38.1811517866262
69,assam,karbi anglong,2011,13,35,0,22,0,20,0,90,51.170721912445835
70,assam,karimganj,2011,46,68,4,15,0,194,0,327,39.76858259868169
71,assam,kokrajhar,2011,52,79,1,31,0,120,0,283,40.786586690865676
72,assam,lakhimpur,2011,52,120,0,57,0,119,0,348,39.34561561996365
73,assam,morigaon,2011,54,93,3,12,0,112,0,274,41.02142422820474
74,assam,n.c.hills,2011,3,8,1,0,0,4,0,16,83.04820237218408
75,assam,nagaon,2011,165,358,20,82,4,772,0,1401,31.78196923007912
76,assam,nalbari,2011,28,83,4,95,0,140,0,350,39.30712475323702
77,assam,r.p.o.,2011,5,3,0,1,0,10,0,19,78.20114830995408
78,assam,sibsagar,2011,49,118,8,78,0,99,0,352,39.26892780324266
79,assam,sonitpur,2011,96,231,12,34,0,346,0,719,35.00507182765851
80,assam,tinsukia,2011,61,135,1,27,0,121,0,345,39.403911884078845
81,assam,udalguri,2011,28,63,1,10,0,45,0,147,46.139989929817624
83,bihar,araria,2011,69,91,26,14,0,24,0,224,42.54870091152305
84,bihar,arwal,2011,5,9,24,8,0,8,0,54,57.72359744023721
85,bihar,aurangabad,2011,18,60,30,32,0,152,0,292,40.561651485995284
86,bihar,bagaha,2011,16,48,13,8,0,15,0,100,50.0
87,bihar,banka,2011,26,56,31,8,0,26,0,147,46.139989929817624
88,bihar,begusarai,2011,17,94,39,12,0,39,0,201,43.41792774341453
89,bihar,bettiah,2011,21,81,32,7,0,67,0,208,43.139459777360415
90,bihar,bhabhua,2011,9,36,33,32,0,17,0,127,47.53295138890645
91,bihar,bhagalpur,2011,23,94,12,10,0,17,0,156,45.597044543220065
92,bihar,bhojpur,2011,16,48,40,2,0,72,0,178,44.436149650910345
93,bihar,buxar,2011,13,52,37,6,0,59,0,167,44.989993684786185
94,bihar,darbhanga,2011,34,97,38,202,0,284,0,655,35.50832096677646
95,bihar,gaya,2011,23,63,56,7,0,47,0,196,43.625143477457804
96,bihar,gopalganj,2011,17,106,35,30,0,56,0,244,41.88674966139013
97,bihar,jamalpur rly.,2011,0,0,0,2,0,1,0,3,209.59032742893848
98,bihar,jamui,2011,23,28,13,34,0,40,0,138,46.731612377303065
99,bihar,jehanabad,2011,10,14,20,8,0,22,0,74,53.49791518324556
100,bihar,katihar,2011,103,102,29,10,0,25,1,270,41.129180863066026
101,bihar,katihar rly.,2011,2,0,0,4,0,2,0,8,110.73093649624543
102,bihar,khagaria,2011,14,42,15,0,0,26,0,97,50.332908544690994
103,bihar,kishanganj,2011,30,60,13,20,0,50,0,173,44.68183200524765
104,bihar,lakhisarai,2011,5,31,14,12,0,44,0,106,49.37525818448509
105,bihar,madhepura,2011,8,67,11,0,0,21,0,107,49.27604187023892
106,bihar,madhubani,2011,44,148,35,0,0,138,0,365,39.027544972386465
107,bihar,motihari,2011,37,179,69,8,0,57,0,350,39.30712475323702
108,bihar,munger,2011,7,56,10,2,0,49,0,124,47.76868449810208
109,bihar,muzaffarpur,2011,56,219,76,4,0,91,2,448,37.717658982582286
110,bihar,muzaffarpur rly.,2011,0,4,1,11,0,0,0,16,83.04820237218408
111,bihar,nalanda,2011,15,72,55,29,0,96,0,267,41.211430415436816
112,bihar,naugachia,2011,7,20,8,6,0,44,0,85,51.82907592915772
113,bihar,nawadah,2011,12,33,21,35,0,57,0,158,45.482308538854454
114,bihar,patna,2011,41,167,112,1,2,317,0,640,35.6356331123095
115,bihar,patna rly.,2011,1,0,2,11,0,0,0,14,87.25028695491561
116,bihar,purnea,2011,62,78,13,24,3,140,0,320,39.91776974050297
117,bihar,rohtas,2011,20,84,32,46,0,57,0,239,42.0451094243463
118,bihar,saharsa,2011,8,41,17,35,0,27,1,129,47.38012296374816
119,bihar,samastipur,2011,40,105,46,9,2,66,0,268,41.18387506571613
120,bihar,saran,2011,10,137,74,46,0,131,1,399,38.44715189682763
121,bihar,sheikhpura,2011,3,14,8,0,0,35,0,60,56.238185575284774
122,bihar,sheohar,2011,4,20,5,3,1,15,0,48,59.47986391060673
123,bihar,sitamarhi,2011,8,49,29,14,0,33,0,133,47.084268068020734
124,bihar,siwan,2011,16,150,139,4,3,53,5,370,38.93775129223119
125,bihar,supaul,2011,23,48,24,8,0,28,0,131,47.230602996026484
126,bihar,vaishali,2011,18,147,76,26,0,59,0,326,39.789630630191645
128,chhattisgarh,balrampur,2011,55,0,3,52,0,23,0,133,47.084268068020734
129,chhattisgarh,bilaspur,2011,70,16,17,146,4,72,0,325,39.810765720041346
130,chhattisgarh,bizapur,2011,4,2,0,5,0,3,0,14,87.25028695491561
131,chhattisgarh,dantewara,2011,8,7,0,10,1,9,0,35,64.76398521807292
132,chhattisgarh,dhamtari,2011,27,18,4,44,3,16,0,112,48.7991023374358
133,chhattisgarh,durg,2011,115,86,13,291,43,131,1,680,35.30439023560141
134,chhattisgarh,gariyaband,2011,21,1,5,30,1,8,0,66,54.95882679536373
135,chhattisgarh,grp raipur,2011,2,0,1,1,0,1,0,5,143.06765580733932
136,chhattisgarh,jagdalpur,2011,68,9,0,29,3,19,0,128,47.45611564124804
137,chhattisgarh,janjgir,2011,33,10,15,114,15,104,0,291,40.586178233803146
138,chhattisgarh,jashpur,2011,78,33,1,69,2,36,0,219,42.726933476397605
139,chhattisgarh,kabirdham,2011,23,16,2,43,7,14,0,105,49.475821015881884
140,chhattisgarh,kanker,2011,29,4,4,14,2,10,0,63,55.57591642691969
141,chhattisgarh,korba,2011,39,2,5,86,12,48,0,192,43.79623623151102
142,chhattisgarh,koriya,2011,72,11,3,95,1,55,1,238,42.077324575196634
143,chhattisgarh,mahasamund,2011,30,35,2,65,11,31,0,174,44.63191339206263
144,chhattisgarh,narayanpur,2011,5,0,0,2,1,0,0,8,110.73093649624543
145,chhattisgarh,raigarh,2011,62,10,11,84,6,32,0,205,43.257200381329106
146,chhattisgarh,raipur,2011,133,35,11,232,53,100,0,564,36.346730455379294
147,chhattisgarh,rajnandgaon,2011,38,21,4,70,3,23,0,159,45.425697569614556
148,chhattisgarh,sarguja,2011,65,32,0,114,3,36,0,250,41.70246112844971
149,chhattisgarh,surajpur,2011,76,17,3,58,3,63,0,220,42.69084346677318
151,goa,north goa,2011,13,8,1,20,9,10,0,61,56.012058970266935
152,goa,south goa,2011,16,9,0,9,3,8,0,45,60.488291231014166
154,gujarat,ahmedabad commr.,2011,60,184,19,83,16,1390,0,1752,30.8305684048509
155,gujarat,ahmedabad rural,2011,10,71,1,22,0,131,0,235,42.175089794430995
156,gujarat,ahwa-dang,2011,1,0,1,1,0,8,0,11,96.02525677891276
157,gujarat,amreli,2011,10,77,0,28,1,143,0,259,41.437040473946354
158,gujarat,anand,2011,10,42,0,20,0,196,0,268,41.18387506571613
159,gujarat,bharuch,2011,13,27,0,9,0,4,0,53,57.9953601178403
160,gujarat,bhavnagar,2011,8,88,0,35,33,181,0,345,39.403911884078845
161,gujarat,cid crime,2011,0,0,0,0,0,0,0,2,332.1928094887363
162,gujarat,dahod,2011,6,48,0,11,0,14,0,79,52.697392685302106
163,gujarat,gandhinagar,2011,14,16,0,16,1,132,0,179,44.38815964683872
164,gujarat,himatnagar,2011,10,46,0,29,4,229,0,318,39.961203745514915
165,gujarat,jamnagar,2011,21,51,0,34,8,356,0,470,37.4237791116128
166,gujarat,junagadh,2011,11,68,1,26,4,423,0,533,36.67400232372328
167,gujarat,kheda north,2011,12,48,0,14,0,132,0,206,43.21769162884206
168,gujarat,kutch (east(g)),2011,8,17,2,13,1,137,0,178,44.436149650910345
169,gujarat,kutch (west-bhuj),2011,15,15,0,14,0,108,0,152,45.83279963445814
170,gujarat,mehsana,2011,9,63,2,20,2,242,0,338,39.54262312753157
171,gujarat,narmada,2011,7,4,0,3,0,5,0,19,78.20114830995408
172,gujarat,navsari,2011,2,10,0,6,2,31,0,51,58.56274687844196
173,gujarat,palanpur,2011,38,87,1,64,1,349,0,540,36.597946266162964
174,gujarat,panchmahal,2011,10,57,0,33,0,249,0,349,39.32633319605598
175,gujarat,patan,2011,16,44,0,43,1,156,0,260,41.40832447862211
176,gujarat,porbandar,2011,6,9,0,1,1,84,0,101,49.892198580547806
177,gujarat,rajkot commr.,2011,10,34,0,17,3,246,0,310,40.138692124665894
178,gujarat,rajkot rural,2011,23,69,2,21,6,279,0,400,38.43108934201205
179,gujarat,surat commr.,2011,36,83,0,34,3,276,0,432,37.9436982378867
180,gujarat,surat rural,2011,6,14,0,9,0,55,0,84,51.96750841955703
181,gujarat,surendranagar,2011,19,41,0,28,4,129,0,221,42.654977634272655
182,gujarat,tapi,2011,2,2,0,3,0,9,0,16,83.04820237218408
183,gujarat,vadodara commr.,2011,9,44,1,15,2,240,0,311,40.11617018635295
184,gujarat,vadodara rural,2011,28,62,0,19,0,95,0,204,43.29697516527108
185,gujarat,valsad,2011,9,19,0,6,0,23,0,57,56.95166695789404
186,gujarat,w.rly ahmedabad,2011,0,1,0,6,0,0,0,7,118.32946624549385
187,gujarat,w.rly vadodara,2011,0,1,0,2,0,0,0,3,209.59032742893848
189,haryana,ambala,2011,37,23,5,28,20,191,0,304,40.275912821406784
190,haryana,bhiwani,2011,41,30,18,26,12,97,0,224,42.54870091152305
191,haryana,faridabad,2011,54,82,10,31,59,218,0,454,37.63564092658085
192,haryana,fatehabad,2011,15,18,7,6,8,86,0,140,46.59554245485505
193,haryana,grp,2011,0,2,4,2,130,0,0,138,46.731612377303065
194,haryana,gurgaon,2011,40,37,25,27,29,107,0,265,41.266963899763056
195,haryana,hissar,2011,36,62,14,37,18,248,0,415,38.1963952937252
196,haryana,jhajjar,2011,32,19,12,20,26,117,0,226,42.47892677204687
197,haryana,jind,2011,37,28,15,15,13,91,0,199,43.499952661688845
198,haryana,kaithal,2011,20,17,8,18,0,119,0,182,44.24638997317389
199,haryana,karnal,2011,62,18,18,25,26,166,0,315,40.027049418781615
200,haryana,kurukshetra,2011,29,30,7,22,20,68,0,176,44.53326023644438
201,haryana,mahendragarh,2011,26,38,11,22,0,85,0,182,44.24638997317389
202,haryana,mewat,2011,28,23,7,9,3,119,0,189,43.92781808009188
203,haryana,palwal,2011,54,43,13,32,0,75,0,217,42.79979601244132
204,haryana,panchkula,2011,17,15,2,9,0,77,0,120,48.0958551305197
205,haryana,panipat,2011,47,70,11,29,19,163,0,339,39.52257210014642
206,haryana,rewari,2011,17,19,7,19,34,94,0,190,43.883638827026495
207,haryana,rohtak,2011,57,32,9,38,52,124,0,312,40.09374568834789
208,haryana,sirsa,2011,21,49,16,26,0,170,0,282,40.812176876411776
209,haryana,sonipat,2011,27,42,23,19,15,156,0,282,40.812176876411776
210,haryana,yamunanagar,2011,36,36,13,14,6,169,0,274,41.02142422820474
212,himachal pradesh,baddipolicedist,2011,8,15,0,7,0,9,0,39,62.85099898418801
213,himachal pradesh,bilaspur,2011,8,3,0,18,9,17,0,55,57.45928742534717
214,himachal pradesh,chamba,2011,6,18,2,29,3,10,0,68,54.56999379736752
215,himachal pradesh,cid,2011,0,0,0,0,0,0,0,2,332.1928094887363
216,himachal pradesh,g.r.p.,2011,0,0,0,0,0,0,0,2,332.1928094887363
217,himachal pradesh,hamirpur,2011,5,7,0,17,12,5,0,46,60.14104886149801
218,himachal pradesh,kangra,2011,32,55,1,60,12,42,0,202,43.377335587678324
219,himachal pradesh,kinnaur,2011,6,1,1,4,0,1,0,13,89.77117175026231
220,himachal pradesh,kullu,2011,20,12,0,38,2,21,0,93,50.80054164221279
221,himachal pradesh,lahaul-spiti,2011,1,0,0,0,0,0,0,2,332.1928094887363
222,himachal pradesh,mandi,2011,26,16,0,55,12,40,0,149,46.015383703422636
223,himachal pradesh,shimla,2011,22,24,0,45,5,16,0,112,48.7991023374358
224,himachal pradesh,sirmaur,2011,12,17,0,33,1,23,0,86,51.69298529844585
225,himachal pradesh,solan,2011,11,13,0,8,0,16,0,48,59.47986391060673
226,himachal pradesh,una,2011,11,10,0,17,6,39,0,83,52.108353691947315
228,jammu & kashmir,anantnag,2011,18,108,0,134,46,6,0,312,40.09374568834789
229,jammu & kashmir,awantipora,2011,4,26,0,13,5,3,0,51,58.56274687844196
230,jammu & kashmir,bandipora,2011,1,57,0,61,5,3,0,127,47.53295138890645
231,jammu & kashmir,baramulla,2011,12,73,0,94,23,1,0,203,43.337019157109864
232,jammu & kashmir,budgam,2011,8,100,0,94,27,2,0,231,42.30812876678819
233,jammu & kashmir,crime jammu,2011,0,0,0,0,0,0,0,2,332.1928094887363
234,jammu & kashmir,crime srinagar,2011,0,0,0,0,0,0,0,2,332.1928094887363
235,jammu & kashmir,doda,2011,16,43,0,25,7,20,0,111,48.89203369695812
236,jammu & kashmir,ganderbal,2011,9,30,0,57,1,1,0,98,50.22031461958567
237,jammu & kashmir,handwara,2011,6,33,0,76,14,1,0,130,47.304957292670686
238,jammu & kashmir,jammu,2011,35,61,3,38,45,51,0,233,42.24121903759183
239,jammu & kashmir,kargil,2011,1,1,0,2,0,2,0,6,128.5097208938469
240,jammu & kashmir,kathua,2011,17,32,5,32,8,19,0,113,48.707344971355255
241,jammu & kashmir,kishtwar,2011,4,25,0,12,1,16,0,58,56.7077308316706
242,jammu & kashmir,kulgam,2011,10,44,0,68,12,1,0,135,46.9410012078276
243,jammu & kashmir,kupwara,2011,11,45,0,45,11,4,0,116,48.43886410953182
244,jammu & kashmir,leh,2011,3,0,0,7,1,0,0,11,96.02525677891276
245,jammu & kashmir,poonch,2011,18,32,0,31,7,29,0,117,48.35155381807434
246,jammu & kashmir,pulwama,2011,5,34,0,11,7,0,0,57,56.95166695789404
247,jammu & kashmir,railways jammu,2011,0,0,0,0,0,0,0,2,332.1928094887363
248,jammu & kashmir,railways kashmir,2011,0,0,0,0,1,0,0,2,332.1928094887363
249,jammu & kashmir,rajouri,2011,32,43,1,30,4,49,0,159,45.425697569614556
250,jammu & kashmir,ramban,2011,13,15,0,12,4,0,0,44,60.84750807294722
251,jammu & kashmir,reasi,2011,11,15,0,11,5,1,0,43,61.21942524106966
252,jammu & kashmir,samba,2011,3,11,2,6,17,5,0,44,60.84750807294722
253,jammu & kashmir,shopian,2011,8,29,0,77,8,0,0,122,47.93037065310977
254,jammu & kashmir,sopore,2011,4,38,0,58,9,5,0,114,48.616735934588846
255,jammu & kashmir,srinagar,2011,14,110,0,171,70,54,0,419,38.13571246441517
256,jammu & kashmir,udhampur,2011,14,18,0,29,12,13,0,86,51.69298529844585
258,jharkhand,bokaro,2011,46,57,13,4,0,102,0,222,42.619333531185106
259,jharkhand,chaibasa,2011,32,14,6,5,0,11,0,68,54.56999379736752
260,jharkhand,chatra,2011,12,17,15,1,0,9,0,54,57.72359744023721
261,jharkhand,deoghar,2011,34,10,18,16,1,24,0,103,49.681116174035076
262,jharkhand,dhanbad,2011,32,83,39,34,0,39,0,227,42.44435590326505
263,jharkhand,dhanbad rly.,2011,0,1,3,8,0,1,0,13,89.77117175026231
264,jharkhand,dumka,2011,34,18,7,19,0,40,0,118,48.265296791693586
265,jharkhand,garhwa,2011,51,26,19,22,0,89,1,208,43.139459777360415
266,jharkhand,giridih,2011,47,41,30,40,2,35,5,200,43.45879896760937
267,jharkhand,godda,2011,29,8,0,21,0,10,0,68,54.56999379736752
268,jharkhand,gumla,2011,46,27,1,10,0,17,0,101,49.892198580547806
269,jharkhand,hazaribagh,2011,22,52,26,25,0,22,0,147,46.139989929817624
270,jharkhand,jamshedpur,2011,39,54,17,32,0,76,0,218,42.763250149612745
271,jharkhand,jamshedpur rly.,2011,1,8,0,5,0,0,0,14,87.25028695491561
272,jharkhand,jamtara,2011,15,11,10,10,0,19,0,65,55.15983410546412
273,jharkhand,khunti,2011,13,3,0,4,0,1,0,21,75.63041955164012
274,jharkhand,koderma,2011,7,19,16,7,0,34,0,83,52.108353691947315
275,jharkhand,latehar,2011,27,12,2,4,0,11,0,56,57.202084933193134
276,jharkhand,lohardagga,2011,30,12,3,2,0,13,0,60,56.238185575284774
277,jharkhand,pakur,2011,39,8,0,6,0,22,0,75,53.33159078712728
278,jharkhand,palamu,2011,28,34,28,6,0,12,0,108,49.17814092127233
279,jharkhand,ramgarh,2011,24,23,7,8,0,3,0,65,55.15983410546412
280,jharkhand,ranchi,2011,50,54,8,9,2,14,0,137,46.80069146012954
281,jharkhand,sahebganj,2011,71,37,5,4,0,32,0,149,46.015383703422636
282,jharkhand,saraikela,2011,30,16,8,9,2,13,0,78,52.851479972409486
283,jharkhand,simdega,2011,25,15,1,6,0,10,0,57,56.95166695789404
285,karnataka,bagalkot,2011,15,9,0,38,0,58,0,120,48.0958551305197
286,karnataka,bangalore commr.,2011,97,206,53,250,40,458,0,1104,32.86264092342258
287,karnataka,bangalore rural,2011,29,1,10,74,2,83,0,199,43.499952661688845
288,karnataka,belgaum,2011,45,32,11,221,4,297,0,610,35.90239071259345
289,karnataka,bellary,2011,6,15,15,65,1,103,1,206,43.21769162884206
290,karnataka,bidar,2011,14,11,7,27,2,77,0,138,46.731612377303065
291,karnataka,bijapur,2011,7,21,8,66,0,116,1,219,42.726933476397605
292,karnataka,cbpura,2011,16,16,7,55,0,92,0,186,44.062317535915355
293,karnataka,chamarajnagar,2011,11,6,9,71,0,62,0,159,45.425697569614556
294,karnataka,chickmagalur,2011,10,11,1,53,4,68,1,148,46.07739209084348
295,karnataka,chitradurga,2011,27,24,5,93,0,96,0,245,41.85560838755916
296,karnataka,dakshin kannada,2011,6,3,1,46,0,38,0,94,50.68095299428461
297,karnataka,davanagere,2011,11,15,6,65,0,93,0,190,43.883638827026495
298,karnataka,dharwad commr.,2011,7,18,3,22,2,56,0,108,49.17814092127233
299,karnataka,dharwad rural,2011,0,5,2,21,0,22,0,50,58.8591910067779
300,karnataka,gadag,2011,5,5,0,48,0,32,0,90,51.170721912445835
301,karnataka,gulbarga,2011,36,73,2,111,0,153,0,375,38.84956692397803
302,karnataka,hassan,2011,27,25,32,106,0,264,0,454,37.63564092658085
303,karnataka,haveri,2011,13,0,0,76,0,74,0,163,45.204122742991125
304,karnataka,k.g.f.,2011,4,11,1,14,0,28,0,58,56.7077308316706
305,karnataka,kodagu,2011,16,5,5,25,1,57,0,109,49.081525199106494
306,karnataka,kolar,2011,17,13,3,21,0,23,0,77,53.0084768854917
307,karnataka,koppal,2011,13,0,0,23,0,70,0,106,49.37525818448509
308,karnataka,mandya,2011,31,31,12,98,0,230,0,402,38.39912433160672
309,karnataka,mangalore city,2011,16,4,0,27,2,43,0,92,50.92199809343438
310,karnataka,mysore commr.,2011,11,17,5,23,0,32,9,97,50.332908544690994
311,karnataka,mysore rural,2011,19,39,7,174,0,158,0,397,38.47943870033353
312,karnataka,raichur,2011,29,14,10,149,0,174,0,376,38.83211867319492
313,karnataka,railways,2011,0,1,0,0,0,0,0,2,332.1928094887363
314,karnataka,ramanagar,2011,19,45,23,101,0,71,0,259,41.437040473946354
315,karnataka,shimoga,2011,23,18,6,123,10,278,0,458,37.58175707364887
316,karnataka,tumkur,2011,31,14,17,135,0,124,0,321,39.89618959753485
317,karnataka,udupi,2011,5,3,1,45,1,42,0,97,50.332908544690994
318,karnataka,uttar kannada,2011,11,4,3,73,12,75,0,178,44.436149650910345
319,karnataka,yadgiri,2011,9,0,2,69,0,65,0,145,46.266993819004654
321,kerala,alapuzha,2011,56,10,1,245,76,310,0,698,35.16353159323423
322,kerala,ernakulam commr.,2011,62,4,1,149,44,225,0,485,37.233661957401324
323,kerala,ernakulam rural,2011,30,11,0,105,32,136,0,314,40.04918603820744
324,kerala,idukki,2011,54,8,0,169,18,237,0,486,37.22126480018763
325,kerala,kannur,2011,55,11,0,161,23,373,0,623,35.7847299148589
326,kerala,kasargod,2011,125,8,0,136,10,196,0,475,37.359524317770095
327,kerala,kollam commr.,2011,51,20,1,192,19,319,0,602,35.97644489569346
328,kerala,kollam rural,2011,46,10,0,255,8,298,0,617,35.83863086432863
329,kerala,kottayam,2011,51,21,2,258,31,285,0,648,35.56725315568645
330,kerala,kozhikode commr.,2011,14,10,0,124,100,171,0,419,38.13571246441517
331,kerala,kozhikode rural,2011,46,16,1,179,13,322,0,577,36.216455150572465
332,kerala,malappuram,2011,83,12,0,232,27,661,0,1015,33.26164293716315
333,kerala,palakkad,2011,85,9,2,156,18,404,0,674,35.35242965139955
334,kerala,pathanamthitta,2011,33,15,0,157,14,158,0,377,38.814732369222824
335,kerala,railways,2011,0,0,0,25,9,0,0,34,65.29636084911307
336,kerala,thrissur commr.,2011,28,10,0,100,28,131,0,297,40.44069929637122
337,kerala,thrissur rural,2011,69,12,1,263,28,449,0,822,34.30682591195144
338,kerala,trivandrum commr.,2011,39,13,0,241,46,156,0,495,37.1111879542044
339,kerala,trivandrum rural,2011,140,15,4,547,24,422,0,1152,32.66423394878765
340,kerala,wayanadu,2011,65,6,2,62,5,124,0,264,41.2949445986653
342,madhya pradesh,alirajpur,2011,24,18,0,23,0,8,0,73,53.667564618155026
343,madhya pradesh,anuppur,2011,60,7,10,57,4,42,0,180,44.34053967922575
344,madhya pradesh,ashok nagar,2011,36,5,8,105,8,33,0,195,43.667462274948896
345,madhya pradesh,balaghat,2011,55,7,3,104,7,37,0,213,42.948323311332906
346,madhya pradesh,barwani,2011,39,7,2,58,5,11,0,122,47.93037065310977
347,madhya pradesh,betul,2011,120,18,20,188,6,53,0,405,38.35157236066623
348,madhya pradesh,bhind,2011,51,18,28,71,11,45,0,224,42.54870091152305
349,madhya pradesh,bhopal,2011,146,32,19,144,16,198,2,557,36.41852643058734
